timestamp,open,high,low,close,volume
1420474800000,1.19366,1.19366,1.19317,1.19337,455.5
1420475100000,1.19337,1.19346,1.19292,1.19292,515.03
1420475400000,1.19292,1.19302,1.19252,1.19252,801.05
1420475700000,1.19251,1.19256,1.19206,1.19212,732.35
1420476000000,1.19209,1.19236,1.1918,1.19181,555.46
1420476300000,1.19181,1.192,1.19168,1.19189,471.9
1420476600000,1.19189,1.19197,1.19154,1.19187,439.54
1420476900000,1.19187,1.19189,1.19165,1.19178,495.49
1420477200000,1.19179,1.19191,1.19137,1.19161,637.66
1420477500000,1.19161,1.19161,1.19125,1.1914,522.38
1420477800000,1.19139,1.19149,1.19125,1.19149,489.39
1420478100000,1.19151,1.19197,1.19148,1.19195,500.63
1420478400000,1.19195,1.19197,1.19183,1.1919,469.28
1420478700000,1.1919,1.19239,1.1919,1.19238,432.7
1420479000000,1.19237,1.1926,1.19218,1.19256,566.21
1420479300000,1.19256,1.19261,1.19241,1.19243,421.15
1420479600000,1.19242,1.19243,1.1922,1.1923,370.05
1420479900000,1.1923,1.19278,1.1923,1.19278,498.48
1420480200000,1.19278,1.19288,1.1925,1.19259,420.89
1420480500000,1.1926,1.1926,1.19236,1.19238,521.13
1420480800000,1.19233,1.19233,1.19157,1.19159,522.62
1420481100000,1.19159,1.19174,1.19148,1.19159,409.8
1420481400000,1.19159,1.1919,1.19156,1.19171,536.27
1420481700000,1.19171,1.19236,1.19169,1.19236,495.39
1420482000000,1.19236,1.19236,1.19195,1.19227,381.44
1420482300000,1.19228,1.1929,1.19227,1.19262,602.44
1420482600000,1.19261,1.19282,1.19225,1.19275,529.7
1420482900000,1.19274,1.19274,1.19245,1.19259,371.75
1420483200000,1.19258,1.19266,1.19247,1.19259,214.29
1420483500000,1.19258,1.19266,1.19241,1.19266,196.27
1420483800000,1.19266,1.19295,1.19255,1.19276,388.77
1420484100000,1.19276,1.19345,1.19272,1.19344,347.88
1420484400000,1.19346,1.19368,1.19337,1.1936,499.35
1420484700000,1.19362,1.19365,1.19332,1.19337,351.58
1420485000000,1.1934,1.19382,1.1934,1.19381,273.51
